Nome,Quantidade,Componente
"U1",1," Arduino Uno R3"
"D1",1,"Amarelo LED"
"D2",1,"Laranja LED"
"D3",1,"Azul LED"
"D4",1,"Vermelho LED"
"D5",1,"Verde LED"
"R1, R2, R3, R4, R5",5,"295 Ω Resistor"
